group,profile,run,project,sample_count,container_count,cpu_avg,mem_avg_gb,rx_bytes,tx_bytes,errors
G0,contention,1,tcc-bes-g0-contention-run1,45,5,0.28025999999999995,0.4546609224817778,30654180.0,33735090.0,[]
G0,contention,2,tcc-bes-g0-contention-run2,46,5,0.2837195652173913,0.444553597106087,30750340.0,33833140.0,[]
G0,contention,3,tcc-bes-g0-contention-run3,44,5,0.5179977272727272,0.44276884200727273,30452880.0,33435760.0,[]
G0,spike,1,tcc-bes-g0-spike-run1,44,5,0.6384363636363637,0.45766052770909094,44254590.0,48936470.0,[]
G0,spike,2,tcc-bes-g0-spike-run2,44,5,0.6508840909090909,0.43889697512727266,44373450.0,49054590.0,[]
G0,spike,3,tcc-bes-g0-spike-run3,45,5,0.6162977777777777,0.4497528877511111,44952880.0,49733940.0,[]
G0,steady,1,tcc-bes-g0-steady-run1,46,5,0.2967391304347826,0.4424411723686956,25652580.0,27115740.0,[]
G0,steady,2,tcc-bes-g0-steady-run2,46,5,0.23088913043478262,0.4444656079026087,25252080.0,26745240.0,[]
G0,steady,3,tcc-bes-g0-steady-run3,46,5,0.24623043478260873,0.44938297344000006,26152020.0,27635200.0,[]
G1,contention,1,tcc-bes-g1-contention-run1,44,7,0.6370863636363636,0.8065465474327274,39280200.0,42201970.0,[]
G1,contention,2,tcc-bes-g1-contention-run2,45,7,0.49386444444444444,0.8005574838044445,40011240.0,43032300.0,[]
G1,contention,3,tcc-bes-g1-contention-run3,45,7,0.4482022222222222,0.8075279510186666,40396100.0,43356790.0,[]
G1,spike,1,tcc-bes-g1-spike-run1,45,7,0.5562666666666667,0.7810812331804445,55339600.0,59791560.0,[]
G1,spike,2,tcc-bes-g1-spike-run2,45,7,0.55758,0.7968972545137778,55238300.0,59710120.0,[]
G1,spike,3,tcc-bes-g1-spike-run3,44,7,0.6730522727272727,0.8028000330472728,53945640.0,58348490.0,[]
G1,steady,1,tcc-bes-g1-steady-run1,45,7,0.6531533333333334,0.7987816620942222,34907240.0,36309790.0,[]
G1,steady,2,tcc-bes-g1-steady-run2,44,7,0.6884250000000001,0.7806748411345454,34366100.0,35767110.0,[]
G1,steady,3,tcc-bes-g1-steady-run3,44,7,0.5905409090909091,0.7879705469672726,35157620.0,36708200.0,[]
G2,contention,1,tcc-bes-g2-contention-run1,43,9,1.2520069767441862,1.1434987081823256,44610580.0,47464640.0,[]
G2,contention,2,tcc-bes-g2-contention-run2,44,9,1.1908454545454545,1.1217289513890911,44538790.0,47402220.0,[]
G2,contention,3,tcc-bes-g2-contention-run3,43,9,1.2529232558139536,1.1428324966399999,44382690.0,47175810.0,[]
G2,spike,1,tcc-bes-g2-spike-run1,43,9,1.622425581395349,1.1401159532353489,59077790.0,63452180.0,[]
G2,spike,2,tcc-bes-g2-spike-run2,43,9,1.5072558139534884,1.1725842555832557,60344650.0,64717940.0,[]
G2,spike,3,tcc-bes-g2-spike-run3,43,9,1.480253488372093,1.1300747406883722,60593920.0,64739460.0,[]
G2,steady,1,tcc-bes-g2-steady-run1,41,9,1.3894585365853658,1.126812812862439,36454750.0,37849630.0,[]
G2,steady,2,tcc-bes-g2-steady-run2,43,9,1.1912093023255814,1.0939673919106978,37556890.0,38931870.0,[]
G2,steady,3,tcc-bes-g2-steady-run3,43,9,1.1584302325581395,1.113245095888372,38213780.0,39616430.0,[]
G3,contention,1,tcc-bes-g3-contention-run1,44,13,1.7839795454545453,1.8527129674472724,78636610.0,81365600.0,[]
G3,contention,2,tcc-bes-g3-contention-run2,44,13,1.6939545454545455,1.8252579113890908,78563590.0,81482740.0,[]
G3,contention,3,tcc-bes-g3-contention-run3,44,13,1.5730477272727272,1.8114236192581818,78613090.0,81485190.0,[]
G3,spike,1,tcc-bes-g3-spike-run1,43,13,1.904753488372093,1.756685469172093,110785600.0,115095460.0,[]
G3,spike,2,tcc-bes-g3-spike-run2,43,13,1.8731139534883718,1.7783970887441862,111325860.0,115724700.0,[]
G3,spike,3,tcc-bes-g3-spike-run3,43,13,2.065860465116279,1.759789254132093,111375220.0,115763540.0,[]
G3,steady,1,tcc-bes-g3-steady-run1,43,13,1.7329023255813951,1.7452469681413953,52493160.0,53997790.0,[]
G3,steady,2,tcc-bes-g3-steady-run2,43,13,1.7193023255813955,1.771765942891163,52390050.0,53804800.0,[]
G3,steady,3,tcc-bes-g3-steady-run3,43,13,1.453027906976744,1.7838765079813952,52945870.0,54443620.0,[]
