group,profile,runs,success_runs,domain_ok_runs,http_p95_ms_mean,http_p95_ms_stdev,http_failed_rate_mean,cpu_avg_mean,cpu_avg_stdev,mem_avg_gb_mean,mem_avg_gb_stdev,rx_bytes_mean,tx_bytes_mean,network_bytes_mean,http_rps_avg_mean,icce_mean,icce_stdev
G0,contention,3,3,3,20.034533766666616,3.6408048202433867,0.0,0.36065909749670616,0.1362702295540747,0.4473277871983792,0.006413072002102837,30619133.333333332,33667996.666666664,64287130.0,73.81021064742885,1.0,0.09100968490861008
G0,spike,3,3,3,13.6449058,1.2332583725741126,0.0,0.6352060774410775,0.017517971505910862,0.4487701301958249,0.009420301782958915,44526973.333333336,49241666.666666664,93768640.0,119.45185414933384,0.9999999999999999,0.0042476122103502325
G0,steady,3,3,3,15.465660816666663,3.3088581663106,0.0,0.2579528985507247,0.03445457506044869,0.4454299179037681,0.0035699539019632895,25685560.0,27165393.333333332,52850953.33333333,34.934935693637016,1.0,0.0343525616317844
G1,contention,3,3,3,19.77080231666666,0.8943220052994167,0.0,0.5263843434343434,0.09855182693473656,0.8048773274186128,0.003773138599067997,39895846.666666664,42863686.666666664,82759533.33333333,103.33621372949325,1.386263613764701,0.0645338581081988
G1,spike,3,3,3,12.24360468333333,0.8035770334517822,0.0,0.5956329797979798,0.06705029007666456,0.793592840247165,0.011230135001320331,54841180.0,59283390.0,114124570.0,159.87140690086207,1.2303586644188913,0.027398788414788138
G1,steady,3,3,3,25.87802191666665,3.286971136777973,0.0,0.6440397474747475,0.04957435726942065,0.7891423500653467,0.009110108846327764,34810320.0,36261700.0,71072020.0,67.10877021127168,1.6522347576536196,0.04312924885415597
G2,contention,3,3,3,34.66021374999999,0.8475494988998713,0.0,1.2319252290345315,0.0355790780640601,1.1360200520704722,0.012380938109400665,44510686.666666664,47347556.666666664,91858243.33333333,112.61255545754223,2.0972257767913716,0.030362953895530977
G2,spike,3,3,3,33.28017333333333,5.8254293953411125,0.0,1.5366449612403101,0.07550508255964106,1.1475916498356589,0.022218893849480826,60005453.333333336,64303193.333333336,124308646.66666667,170.69070652748917,1.8258985146152609,0.02729312431781139
G2,steady,3,3,3,44.28453286666662,8.779875679448592,0.0,1.246366023823029,0.12500086903771654,1.1113417668871697,0.01650522388031693,37408473.333333336,38799310.0,76207783.33333334,71.23364719926218,2.442198648472575,0.12007431887600577
G3,contention,3,3,3,32.941778599999985,0.26472233861003586,0.0,1.683660606060606,0.10584201373536155,1.829798166031515,0.021015779848331362,78604430.0,81444510.0,160048940.0,235.28287770644442,3.062710655656049,0.08511894201597527
G3,spike,3,3,3,28.531115533333335,0.36119872878805204,0.0,1.9479093023255813,0.10336644835086876,1.7649572706827907,0.011742227319041301,111162226.66666667,115527900.0,226690126.6666667,373.2429800930765,2.6040105944401373,0.038840132078336975
G3,steady,3,3,3,42.527105416666636,2.048028382641793,0.0,1.6350775193798448,0.15780616601416259,1.766963139671318,0.019757543524915988,52609693.333333336,54082070.0,106691763.33333334,121.81119198294483,3.3314419700110114,0.14218734734534694
