group,load,run,cpu_avg,duration_seconds,mem_avg_gb,rx_bytes,tx_bytes,resource_source
G0,contention,1,0.28025999999999995,182.69642090797424,0.4546609224817778,30654180.0,33735090.0,docker-stats
G0,contention,2,0.2837195652173913,183.78635692596436,0.444553597106087,30750340.0,33833140.0,docker-stats
G0,contention,3,0.5179977272727272,183.37509608268738,0.44276884200727273,30452880.0,33435760.0,docker-stats
G0,spike,1,0.6384363636363637,182.12080693244934,0.45766052770909094,44254590.0,48936470.0,docker-stats
G0,spike,2,0.6508840909090909,181.92640209197998,0.43889697512727266,44373450.0,49054590.0,docker-stats
G0,spike,3,0.6162977777777777,182.63884806632996,0.4497528877511111,44952880.0,49733940.0,docker-stats
G0,steady,1,0.2967391304347826,184.02854204177856,0.4424411723686956,25652580.0,27115740.0,docker-stats
G0,steady,2,0.23088913043478262,182.86501097679138,0.4444656079026087,25252080.0,26745240.0,docker-stats
G0,steady,3,0.24623043478260873,182.05792999267578,0.44938297344000006,26152020.0,27635200.0,docker-stats
G1,contention,1,0.6370863636363636,183.35179591178894,0.8065465474327274,39280200.0,42201970.0,docker-stats
G1,contention,2,0.49386444444444444,183.08363890647888,0.8005574838044445,40011240.0,43032300.0,docker-stats
G1,contention,3,0.4482022222222222,182.82016587257385,0.8075279510186666,40396100.0,43356790.0,docker-stats
G1,spike,1,0.5562666666666667,181.7168619632721,0.7810812331804445,55339600.0,59791560.0,docker-stats
G1,spike,2,0.55758,181.74734687805176,0.7968972545137778,55238300.0,59710120.0,docker-stats
G1,spike,3,0.6730522727272727,182.27872490882874,0.8028000330472728,53945640.0,58348490.0,docker-stats
G1,steady,1,0.6531533333333334,182.290687084198,0.7987816620942222,34907240.0,36309790.0,docker-stats
G1,steady,2,0.6884250000000001,182.05303311347961,0.7806748411345454,34366100.0,35767110.0,docker-stats
G1,steady,3,0.5905409090909091,182.30209708213806,0.7879705469672726,35157620.0,36708200.0,docker-stats
G2,contention,1,1.2520069767441862,183.96692991256714,1.1434987081823256,44610580.0,47464640.0,docker-stats
G2,contention,2,1.1908454545454545,184.95862197875977,1.1217289513890911,44538790.0,47402220.0,docker-stats
G2,contention,3,1.2529232558139536,183.51560997962952,1.1428324966399999,44382690.0,47175810.0,docker-stats
G2,spike,1,1.622425581395349,182.37182211875916,1.1401159532353489,59077790.0,63452180.0,docker-stats
G2,spike,2,1.5072558139534884,182.7385289669037,1.1725842555832557,60344650.0,64717940.0,docker-stats
G2,spike,3,1.480253488372093,182.43833088874817,1.1300747406883722,60593920.0,64739460.0,docker-stats
G2,steady,1,1.3894585365853658,182.98341584205627,1.126812812862439,36454750.0,37849630.0,docker-stats
G2,steady,2,1.1912093023255814,183.6193220615387,1.0939673919106978,37556890.0,38931870.0,docker-stats
G2,steady,3,1.1584302325581395,182.41017389297485,1.113245095888372,38213780.0,39616430.0,docker-stats
G3,contention,1,1.7839795454545453,183.87263083457947,1.8527129674472724,78636610.0,81365600.0,docker-stats
G3,contention,2,1.6939545454545455,184.2492549419403,1.8252579113890908,78563590.0,81482740.0,docker-stats
G3,contention,3,1.5730477272727272,183.0833969116211,1.8114236192581818,78613090.0,81485190.0,docker-stats
G3,spike,1,1.904753488372093,181.7709379196167,1.756685469172093,110785600.0,115095460.0,docker-stats
G3,spike,2,1.8731139534883718,182.28983879089355,1.7783970887441862,111325860.0,115724700.0,docker-stats
G3,spike,3,2.065860465116279,182.1007559299469,1.759789254132093,111375220.0,115763540.0,docker-stats
G3,steady,1,1.7329023255813951,183.66697192192078,1.7452469681413953,52493160.0,53997790.0,docker-stats
G3,steady,2,1.7193023255813955,183.24505496025085,1.771765942891163,52390050.0,53804800.0,docker-stats
G3,steady,3,1.453027906976744,182.86312103271484,1.7838765079813952,52945870.0,54443620.0,docker-stats
