group,profile,run,project,status,k6_exit_code,started_at,finished_at,duration_seconds,domain_passed,run_dir
G0,contention,1,tcc-bes-g0-contention-run1,success,0,2026-06-30T02:38:19.7802810Z,2026-06-30T02:42:05.6006430Z,182.69642090797424,True,experiments\results\20260629-232719-g0-g3\runs\G0\contention\run-01
G0,contention,2,tcc-bes-g0-contention-run2,success,0,2026-06-30T02:42:05.6166217Z,2026-06-30T02:45:45.7163114Z,183.78635692596436,True,experiments\results\20260629-232719-g0-g3\runs\G0\contention\run-02
G0,contention,3,tcc-bes-g0-contention-run3,success,0,2026-06-30T02:45:45.7302000Z,2026-06-30T02:49:27.9760660Z,183.37509608268738,True,experiments\results\20260629-232719-g0-g3\runs\G0\contention\run-03
G0,spike,1,tcc-bes-g0-spike-run1,success,0,2026-06-30T02:49:27.9984212Z,2026-06-30T02:53:13.6405482Z,182.12080693244934,True,experiments\results\20260629-232719-g0-g3\runs\G0\spike\run-01
G0,spike,2,tcc-bes-g0-spike-run2,success,0,2026-06-30T02:53:13.6730190Z,2026-06-30T02:56:59.2841465Z,181.92640209197998,True,experiments\results\20260629-232719-g0-g3\runs\G0\spike\run-02
G0,spike,3,tcc-bes-g0-spike-run3,success,0,2026-06-30T02:56:59.3008571Z,2026-06-30T03:00:45.3039081Z,182.63884806632996,True,experiments\results\20260629-232719-g0-g3\runs\G0\spike\run-03
G0,steady,1,tcc-bes-g0-steady-run1,success,0,2026-06-30T02:27:20.5628961Z,2026-06-30T02:31:03.8135940Z,184.02854204177856,True,experiments\results\20260629-232719-g0-g3\runs\G0\steady\run-01
G0,steady,2,tcc-bes-g0-steady-run2,success,0,2026-06-30T02:31:03.8327006Z,2026-06-30T02:34:42.2140689Z,182.86501097679138,True,experiments\results\20260629-232719-g0-g3\runs\G0\steady\run-02
G0,steady,3,tcc-bes-g0-steady-run3,success,0,2026-06-30T02:34:42.2220251Z,2026-06-30T02:38:19.7642317Z,182.05792999267578,True,experiments\results\20260629-232719-g0-g3\runs\G0\steady\run-03
G1,contention,1,tcc-bes-g1-contention-run1,success,0,2026-06-30T03:12:21.8863199Z,2026-06-30T03:16:06.7326040Z,183.35179591178894,True,experiments\results\20260629-232719-g0-g3\runs\G1\contention\run-01
G1,contention,2,tcc-bes-g1-contention-run2,success,0,2026-06-30T03:16:06.7424961Z,2026-06-30T03:19:52.7849048Z,183.08363890647888,True,experiments\results\20260629-232719-g0-g3\runs\G1\contention\run-02
G1,contention,3,tcc-bes-g1-contention-run3,success,0,2026-06-30T03:19:52.7924185Z,2026-06-30T03:23:36.7960217Z,182.82016587257385,True,experiments\results\20260629-232719-g0-g3\runs\G1\contention\run-03
G1,spike,1,tcc-bes-g1-spike-run1,success,0,2026-06-30T03:23:36.8030640Z,2026-06-30T03:27:21.9883951Z,181.7168619632721,True,experiments\results\20260629-232719-g0-g3\runs\G1\spike\run-01
G1,spike,2,tcc-bes-g1-spike-run2,success,0,2026-06-30T03:27:21.9986765Z,2026-06-30T03:31:06.3117023Z,181.74734687805176,True,experiments\results\20260629-232719-g0-g3\runs\G1\spike\run-02
G1,spike,3,tcc-bes-g1-spike-run3,success,0,2026-06-30T03:31:06.3193056Z,2026-06-30T03:34:50.6911023Z,182.27872490882874,True,experiments\results\20260629-232719-g0-g3\runs\G1\spike\run-03
G1,steady,1,tcc-bes-g1-steady-run1,success,0,2026-06-30T03:00:45.3290341Z,2026-06-30T03:04:40.2289016Z,182.290687084198,True,experiments\results\20260629-232719-g0-g3\runs\G1\steady\run-01
G1,steady,2,tcc-bes-g1-steady-run2,success,0,2026-06-30T03:04:40.2421793Z,2026-06-30T03:08:32.3018233Z,182.05303311347961,True,experiments\results\20260629-232719-g0-g3\runs\G1\steady\run-02
G1,steady,3,tcc-bes-g1-steady-run3,success,0,2026-06-30T03:08:32.3236756Z,2026-06-30T03:12:21.8771422Z,182.30209708213806,True,experiments\results\20260629-232719-g0-g3\runs\G1\steady\run-03
G2,contention,1,tcc-bes-g2-contention-run1,success,0,2026-06-30T03:47:33.0659858Z,2026-06-30T03:51:43.9046153Z,183.96692991256714,True,experiments\results\20260629-232719-g0-g3\runs\G2\contention\run-01
G2,contention,2,tcc-bes-g2-contention-run2,success,0,2026-06-30T03:51:43.9251363Z,2026-06-30T03:55:52.2059159Z,184.95862197875977,True,experiments\results\20260629-232719-g0-g3\runs\G2\contention\run-02
G2,contention,3,tcc-bes-g2-contention-run3,success,0,2026-06-30T03:55:52.2349581Z,2026-06-30T03:59:56.6048289Z,183.51560997962952,True,experiments\results\20260629-232719-g0-g3\runs\G2\contention\run-03
G2,spike,1,tcc-bes-g2-spike-run1,success,0,2026-06-30T03:59:56.6277404Z,2026-06-30T04:04:02.9170450Z,182.37182211875916,True,experiments\results\20260629-232719-g0-g3\runs\G2\spike\run-01
G2,spike,2,tcc-bes-g2-spike-run2,success,0,2026-06-30T04:04:02.9346972Z,2026-06-30T04:08:01.5006086Z,182.7385289669037,True,experiments\results\20260629-232719-g0-g3\runs\G2\spike\run-02
G2,spike,3,tcc-bes-g2-spike-run3,success,0,2026-06-30T04:08:01.5239112Z,2026-06-30T04:12:00.6293002Z,182.43833088874817,True,experiments\results\20260629-232719-g0-g3\runs\G2\spike\run-03
G2,steady,1,tcc-bes-g2-steady-run1,success,0,2026-06-30T03:34:50.7144293Z,2026-06-30T03:39:02.7532290Z,182.98341584205627,True,experiments\results\20260629-232719-g0-g3\runs\G2\steady\run-01
G2,steady,2,tcc-bes-g2-steady-run2,success,0,2026-06-30T03:39:02.7750927Z,2026-06-30T03:43:24.7557304Z,183.6193220615387,True,experiments\results\20260629-232719-g0-g3\runs\G2\steady\run-02
G2,steady,3,tcc-bes-g2-steady-run3,success,0,2026-06-30T03:43:24.7806769Z,2026-06-30T03:47:33.0417597Z,182.41017389297485,True,experiments\results\20260629-232719-g0-g3\runs\G2\steady\run-03
G3,contention,1,tcc-bes-g3-contention-run1,success,0,2026-06-30T04:24:55.5442650Z,2026-06-30T04:29:02.9719889Z,183.87263083457947,True,experiments\results\20260629-232719-g0-g3\runs\G3\contention\run-01
G3,contention,2,tcc-bes-g3-contention-run2,success,0,2026-06-30T04:29:02.9842384Z,2026-06-30T04:33:14.1601087Z,184.2492549419403,True,experiments\results\20260629-232719-g0-g3\runs\G3\contention\run-02
G3,contention,3,tcc-bes-g3-contention-run3,success,0,2026-06-30T04:33:14.1685056Z,2026-06-30T04:37:20.7347646Z,183.0833969116211,True,experiments\results\20260629-232719-g0-g3\runs\G3\contention\run-03
G3,spike,1,tcc-bes-g3-spike-run1,success,0,2026-06-30T04:37:20.7473182Z,2026-06-30T04:41:24.4648015Z,181.7709379196167,True,experiments\results\20260629-232719-g0-g3\runs\G3\spike\run-01
G3,spike,2,tcc-bes-g3-spike-run2,success,0,2026-06-30T04:41:24.4781630Z,2026-06-30T04:45:28.8971197Z,182.28983879089355,True,experiments\results\20260629-232719-g0-g3\runs\G3\spike\run-02
G3,spike,3,tcc-bes-g3-spike-run3,success,0,2026-06-30T04:45:28.9090623Z,2026-06-30T04:49:32.8884693Z,182.1007559299469,True,experiments\results\20260629-232719-g0-g3\runs\G3\spike\run-03
G3,steady,1,tcc-bes-g3-steady-run1,success,0,2026-06-30T04:12:00.6457393Z,2026-06-30T04:16:23.0070401Z,183.66697192192078,True,experiments\results\20260629-232719-g0-g3\runs\G3\steady\run-01
G3,steady,2,tcc-bes-g3-steady-run2,success,0,2026-06-30T04:16:23.0251396Z,2026-06-30T04:20:40.7339982Z,183.24505496025085,True,experiments\results\20260629-232719-g0-g3\runs\G3\steady\run-02
G3,steady,3,tcc-bes-g3-steady-run3,success,0,2026-06-30T04:20:40.7545481Z,2026-06-30T04:24:55.5191010Z,182.86312103271484,True,experiments\results\20260629-232719-g0-g3\runs\G3\steady\run-03
